Source,Target,Label,Publication_name
37/1873,37/1873,9564,"Reachability Analysis of Neural Masses and Seizure Control Based on Combination Convolutional Neural Network."
256/0672,23/1758,15218,"Recognition of words from brain-generated signals of speech-impaired people - Application of autoencoders as a neural Turing machine controller in deep neural networks."
183/0347,140/0859,131084,"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database."
183/0347,64/6125,131084,"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database."
183/0347,183/0341,131084,"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database."
140/0859,64/6125,131084,"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database."
140/0859,183/0341,131084,"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database."
64/6125,183/0341,131084,"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database."
21/10569,233/9371,133698,"Evaluating performance of neural codes in model neural communication networks."
21/10569,22/1425,133698,"Evaluating performance of neural codes in model neural communication networks."
233/9371,22/1425,133698,"Evaluating performance of neural codes in model neural communication networks."
29/137,29/137,133804,"Neural dynamics of emotion and cognition - From trajectories to underlying neural geometry."
173/8066,79/1276-3,134062,"Real-Time Implementation of a Neural Integrator Backstepping Control via Recurrent Wavelet First Order Neural Network."
173/8066,14/1249,134062,"Real-Time Implementation of a Neural Integrator Backstepping Control via Recurrent Wavelet First Order Neural Network."
173/8066,29/319,134062,"Real-Time Implementation of a Neural Integrator Backstepping Control via Recurrent Wavelet First Order Neural Network."
79/1276-3,14/1249,134062,"Real-Time Implementation of a Neural Integrator Backstepping Control via Recurrent Wavelet First Order Neural Network."
79/1276-3,29/319,134062,"Real-Time Implementation of a Neural Integrator Backstepping Control via Recurrent Wavelet First Order Neural Network."
14/1249,29/319,134062,"Real-Time Implementation of a Neural Integrator Backstepping Control via Recurrent Wavelet First Order Neural Network."
200/5849,179/8395,205841,"Cyber Attack Detection by Using Neural Network Approaches - Shallow Neural Network, Deep Neural Network and AutoEncoder."
200/5849,10/569,205841,"Cyber Attack Detection by Using Neural Network Approaches - Shallow Neural Network, Deep Neural Network and AutoEncoder."
179/8395,10/569,205841,"Cyber Attack Detection by Using Neural Network Approaches - Shallow Neural Network, Deep Neural Network and AutoEncoder."
24/2319,79/2621,329170,"Artificial Neural Networks and Machine Learning - ICANN 2019 - Theoretical Neural Computation - 28th International Conference on Artificial Neural Networks, Munich, Germany, September 17-19, 2019, Proceedings, Part I"
24/2319,248/5551,329170,"Artificial Neural Networks and Machine Learning - ICANN 2019 - Theoretical Neural Computation - 28th International Conference on Artificial Neural Networks, Munich, Germany, September 17-19, 2019, Proceedings, Part I"
24/2319,t/FabianJTheis,329170,"Artificial Neural Networks and Machine Learning - ICANN 2019 - Theoretical Neural Computation - 28th International Conference on Artificial Neural Networks, Munich, Germany, September 17-19, 2019, Proceedings, Part I"
79/2621,248/5551,329170,"Artificial Neural Networks and Machine Learning - ICANN 2019 - Theoretical Neural Computation - 28th International Conference on Artificial Neural Networks, Munich, Germany, September 17-19, 2019, Proceedings, Part I"
79/2621,t/FabianJTheis,329170,"Artificial Neural Networks and Machine Learning - ICANN 2019 - Theoretical Neural Computation - 28th International Conference on Artificial Neural Networks, Munich, Germany, September 17-19, 2019, Proceedings, Part I"
248/5551,t/FabianJTheis,329170,"Artificial Neural Networks and Machine Learning - ICANN 2019 - Theoretical Neural Computation - 28th International Conference on Artificial Neural Networks, Munich, Germany, September 17-19, 2019, Proceedings, Part I"
252/5843,252/5647,379029,"General Regression Neural Networks, Radial Basis Function Neural Networks, Support Vector Machines, and Feedforward Neural Networks."
252/5843,252/5880,379029,"General Regression Neural Networks, Radial Basis Function Neural Networks, Support Vector Machines, and Feedforward Neural Networks."
252/5647,252/5880,379029,"General Regression Neural Networks, Radial Basis Function Neural Networks, Support Vector Machines, and Feedforward Neural Networks."
214/1331,214/1269,478959,"Multi-objective symbolic regression using long-term artificial neural network memory (LTANN-MEM) and neural symbolization algorithm (NSA)."
214/1331,116/2999,478959,"Multi-objective symbolic regression using long-term artificial neural network memory (LTANN-MEM) and neural symbolization algorithm (NSA)."
214/1269,116/2999,478959,"Multi-objective symbolic regression using long-term artificial neural network memory (LTANN-MEM) and neural symbolization algorithm (NSA)."
217/2684,217/2684,481435,"Neural electrical activity and neural network growth."
230/0369,49/5462,481454,"Estimation of neural connections from partially observed neural spikes."
230/0369,92/4211,481454,"Estimation of neural connections from partially observed neural spikes."
230/0369,81/2408,481454,"Estimation of neural connections from partially observed neural spikes."
230/0369,88/822,481454,"Estimation of neural connections from partially observed neural spikes."
49/5462,92/4211,481454,"Estimation of neural connections from partially observed neural spikes."
49/5462,81/2408,481454,"Estimation of neural connections from partially observed neural spikes."
49/5462,88/822,481454,"Estimation of neural connections from partially observed neural spikes."
92/4211,81/2408,481454,"Estimation of neural connections from partially observed neural spikes."
92/4211,88/822,481454,"Estimation of neural connections from partially observed neural spikes."
81/2408,88/822,481454,"Estimation of neural connections from partially observed neural spikes."
55/6253-1,83/6792,517025,"Neural Observer and Adaptive Neural Control Design for a Class of Nonlinear Systems."
55/6253-1,03/3890-4,517025,"Neural Observer and Adaptive Neural Control Design for a Class of Nonlinear Systems."
55/6253-1,72/4213,517025,"Neural Observer and Adaptive Neural Control Design for a Class of Nonlinear Systems."
83/6792,03/3890-4,517025,"Neural Observer and Adaptive Neural Control Design for a Class of Nonlinear Systems."
83/6792,72/4213,517025,"Neural Observer and Adaptive Neural Control Design for a Class of Nonlinear Systems."
03/3890-4,72/4213,517025,"Neural Observer and Adaptive Neural Control Design for a Class of Nonlinear Systems."
81/6685-8,24/2718,517124,"Hybrid Fuzzy Wavelet Neural Networks Architecture Based on Polynomial Neural Networks and Fuzzy Set/Relation Inference-Based Wavelet Neurons."
81/6685-8,p/WitoldPedrycz,517124,"Hybrid Fuzzy Wavelet Neural Networks Architecture Based on Polynomial Neural Networks and Fuzzy Set/Relation Inference-Based Wavelet Neurons."
