Id,Label
37/1873,Zhen Ma
256/0672,Behzad Boloukian
23/1758,Faramarz Safi-Esfahani
183/0347,Mehbob Ali
140/0859,Abid Sarwar
64/6125,Vinod Sharma
183/0341,Jyotsna Suri
21/10569,Chris G. Antonopoulos
233/9371,Ezequiel Bianco-Martinez
22/1425,Murilo S. Baptista
29/137,Luiz Pessoa
173/8066,Luis A. Vázquez
79/1276-3,Francisco Jurado 0003
14/1249,Carlos E. Castañeda
29/319,Alma Y. Alanis
200/5849,Serpil Ustebay
179/8395,Zeynep Turgut
10/569,M. Ali Aydin
24/2319,Igor V. Tetko
79/2621,Vera Kurková
248/5551,Pavel Karpov
t/FabianJTheis,Fabian J. Theis
252/5843,Alison Jenkins
252/5647,Vinika Gupta
252/5880,Mary Lenoir
214/1331,A. K. Deklel
214/1269,A. M. Hamdy
116/2999,Elsayed M. Saad
217/2684,F. M. Gafarov
230/0369,Taishi Iwasaki
49/5462,Hideitsu Hino
92/4211,Masami Tatsuno
81/2408,Shotaro Akaho
88/822,Noboru Murata
55/6253-1,Bing Chen 0001
83/6792,Huaguang Zhang
03/3890-4,Xiaoping Liu 0004
72/4213,Chong Lin
81/6685-8,Wei Huang 0008
24/2718,Sung-Kwun Oh
p/WitoldPedrycz,Witold Pedrycz
22/1805-9,Ying Li 0009
209/7376,Maryam Shafaei
94/2575,Özgür Kisi
44/6416,Esteban J. Palomo
55/5795,Ezequiel López-Rubio
23/3287,Yi-Fei Pu
63/1807-1,Zhang Yi 0001
79/1420,Jiliu Zhou
44/3507,José García Rodríguez
25/1735,Alexandra Psarrou
24/2147,Andrew Lewis
79/6988,Anastassia Angelopoulou
61/4009,Miguel Cazorla
69/2253,Mahmood Amiri
02/2544,Alexander Woodward
49/5637,Tom Froese
04/5508,Takashi Ikegami
91/1037,Shiping Wen
85/1640,Zhigang Zeng
24/647,Tingwen Huang
65/4875,Qinggang Meng
72/4065,Wei Yao
95/3377,José Luis Rosselló
10/5695,Vicent Canals
56/4401-2,Antoni Oliver 0002
26/6480,Antoni Morro
74/3395,Hongjiang Song
65/4423,Chen Chen
153/6056,Meng-Wei Lin
153/5886,Kaijun Li
12/6129,Jennifer Blain Christen
141/9730,Amal Kant
141/9675,Pranmohan K. Suman
128/4845,Brijesh Kumar Giri
02/8036,Mukesh Tiwari
141/9677,Chandranath Chatterjee
141/9646,Purna C. Nayak
141/9611,Sawan Kumar
96/630,John MacIntyre
92/8836,Sandeep Pande
00/1457,Fearghal Morgan
83/9736,Seamus Cawley
66/10859,Tom M. Bruintjes
s/GerardJMSmit,Gerard J. M. Smit
09/402,Brian McGinley
02/752,Snaider Carrillo
81/6902,Jim Harkin
m/LiamMcDaid,Liam McDaid
30/8366,Iahn Cajigas
67/4912,Lakshminarayan Srinivasan
09/6631,Jean-Philippe Thivierge
08/3144,Ali A. Minai
s/HavaTSiegelmann,Hava T. Siegelmann
84/6337,Cesare Alippi
87/7031,Michael Georgiopoulos
120/2654,Sjoerd van den Dries
57/2565,Marco A. Wiering
74/1336,Yunong Zhang
56/5094,Chenfu Yi
34/9180,Dongsheng Guo
89/9180,Jinhuan Zheng
46/4502,R. Wang
71/6463,Z. Zhang
12/9843,J. Qu
81/2557,J. Cao
98/4025,Lin Xiao
89/2278,Meiqin Liu
48/4143,Olivier D. Faugeras
48/7229,Romain Veltz
89/3847,François Grimbert
49/3794,Jaerock Kwon
81/4331,Yoonsuck Choe
82/1080,Hirotaka Inoue
38/3872,Thomas Doensig Jorgensen
33/4078,Barry P. Haynes
60/2808,Charlotte C. F. Norlund
33/3377,Yoshiyuki Asai
02/7007,Apratim Guha
30/5697,Alessandro E. P. Villa
28/369,Maria Marinaro
85/4472,Silvia Scarpetta
81/4753,Yoko Yamaguchi
57/3737,Vladimir M. Krasnopolsky
24/2251,Rudolph van der Merwe
82/4320,Todd K. Leen
33/3562,Zhengdong Lu
69/711,Sergey Frolov
91/4457,António M. Baptista
15/3284,Alex Leng Phuan Tay
83/5255,Jacek M. Zurada
58/743,Lai-Ping Wong
73/1149,Jian Xu
68/1792,Gang Leng
02/622,Girijesh Prasad
m/TMartinMcGinnity,T. Martin McGinnity
02/9897,Diego G. Loyola
62/6467,Ioannis G. Tsoulos
13/991,Isaac E. Lagaris
04/6911,Aristidis Likas
02/5722,Nguyen Hoang Viet
78/4444,Jacek Mandziuk
09/6601,Zhaozhi Zhang
95/1554,Xiaomin Ma
33/5774,Yixian Yang
88/4427,Panayiota Poirazi
83/4849,Costas Neocleous
40/2745,Constantinos S. Pattichis
89/4055,Christos Schizas
83/814,Antonino Santos
99/492,Bernardino Arcay Varela
29/2451,Julian Dorado
11/2762,A. B. Rodríguez
48/6925,Alejandro Pazos
59/2790,Ren Jie Kuo
17/4515,P. C. Wu
61/3069,C. P. Wang
67/3565,Radu Dogaru
53/2396,Pedro Julián
03/689,Leon O. Chua
g/ManfredGlesner,Manfred Glesner
25/6312,Athanasios Margaris
04/5177,Manos Roumeliotis
48/6531,Miltiades Adamopoulos
03/3914,Stefan Wermter
52/6277,Anastasios D. Doulamis
68/4000,Nikolaos D. Doulamis
k/StefanosDKollias,Stefanos D. Kollias
75/1692,Kazuyoshi Tsutsumi
73/5388,Deepak Shukla
35/7027,Darren M. Dawson
93/170,Frank W. Paul
95/2429,Dietmar Heinke
69/1370,Fred H. Hamker
12/4193,Vasant Dhar
74/3810,N. Sbirrazzuoli
24/4369,D. Brunnel
c/HubertYChan,Hubert Y. Chan 0001
69/2013,Stanislaw H. Zak
38/6444,Gopathy Purushothaman
10/3183,Nicolaos B. Karayiannis
34/5942,Hyo-Gyu Kim
85/6503,Se-Young Oh
47/3188,Yonghong Tan
55/1431,Achiel R. Van Cauwenberghe
80/5269,D. H. Rao
05/5219,Madan M. Gupta
58/257,Peter N. Nikiforuk
24/1735,Alex M. Andrew
14/5256,John A. Hertz
03/1897,Troels W. Kjær
29/3690,Emad N. Eskandar
06/322,Barry J. Richmond
157/6135,A. E. Busch
157/6149,L. E. H. Trainor
90/3500,Fagui Liu
228/1976,Jingzhong Zheng
252/7120,Lailei Zheng
10/217-14,Cheng Chen 0014
228/8601,Mohammed Al-Maitah
76/10580,Md. Zahangir Alom
170/0770,Mahmudul Hasan
83/10067,Chris Yakopcic
74/2526,Tarek M. Taha
71/3518,Vijayan K. Asari
150/1320,Torki A. Altameem
31/3270,Angel Álvarez-Arenal
204/9574,Héctor deLlanos-Lanchares
50/9132,Elena Martín Fernández
204/9685,Mario Mauvezin-Quevedo
195/4660,María Luisa Sánchez Rodríguez
55/4449,Francisco Javier de Cos Juez
256/7513,Ahmad Azharuddin Azhari Mohd Amiruddin
20/8337,Haslinda Zabiri
256/7443,Syed Ali Ammar Taqvi
160/9155,Lemma Dendena Tufa
35/5426,Chaouki Aouiti
228/2388,Farah Dridi
151/0865,Alejandro Baldominos
18/2696,Yago Saez
v/PedroIsasiVinuela,Pedro Isasi
80/5657,Joseph Constantin
42/3619,André Bigand
131/3227,Ibtissam Constantin
258/6360,Sarita Das
86/3289,Debi Prasad Das
258/6345,Chinmaya Kumar Sarangi
258/6472,Bhagyadhar Bhoi
06/9875,Monika Dörfler
09/6775,Thomas Grill
202/1757,Roswitha Bammer
95/4897,Arthur Flexer
33/8436,D. Jude Hemanth
79/7409,Omer Deperlioglu
15/9596,Utku Kose
53/5490,Ping Hu
200/8390,Ivan Kiskin
133/2009,Davide Zilli
82/3013,Yunpeng Li
200/8935,Marianne Sinka
163/2191,Kathy Willis
64/1485,Stephen J. Roberts
204/9756,Juan Enrique Sánchez Lasheras
204/9777,Carmen González-Donquiles
01/325,Paulino José García Nieto
258/6560,José Juan Jiménez Moleon
147/5548,Dolores Salas-Trejo
195/4656,Sergio Luis Suárez Gómez
258/6305,Antonio J. Molina de la Torre
258/6807,Joaquín González-Nuevo
220/9805,Laura Bonavera
178/9445,Jorge Carballido-Landeira
93/7511,Kin Wah Edward Lin
232/1661,Balamurali B. T.
232/2203,Enyan Koh
88/7595,Simon Lui
132/1691,Dorien Herremans
189/9729,Andre Loechte
256/7384,Ole Gebert
200/9618,Daniel Heming
200/9454,Klaus T. Kallis
189/9779,Peter Gloesekoetter
97/9523,Sparsh Mittal
216/3226,Hossein Moayedi
242/8727,Mansour Mosallanezhad
193/6592,Ahmad Safuan A. Rashid
256/3820,Wan Amizah Wan Jusoh
256/3829,Mohammed Abdullahi Mu'azu
213/0205,Shraddha M. Naik
213/0430,Ravi Prasad K. Jagannath
257/6397,Venkatnareshbabu Kuppili
144/2986,Dilip Kumar Nayak
147/5499,Santosh Kumar Behera
258/6721,Sarada Prasad Das
179/0608,Marcin Pazera
154/9761,Mariusz Buciakowski
68/4739,Marcin Witczak
81/2683,Marcin Mrugalski
81/516,Jun-Fei Qiao
